date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2020-09-29,TSLA,1,419.070007,0.9127,1,1,1,1,0,TRUE,TRUE,FALSE
2021-01-28,TSLA,4,835.429993,0.54315,0.003341687552213868,1197,0.782,0.002,0,FALSE,FALSE,FALSE
2021-01-29,TSLA,26,793.530029,-0.016299999999999995,0.001636455186304129,15888,0.016,0,0,FALSE,FALSE,FALSE
2021-01-30,TSLA,15,793.530029,0.6725666666666666,0.011876484560570071,1263,0.02,0.004,0,FALSE,FALSE,FALSE
2021-01-31,TSLA,13,793.530029,0.3756153846153846,0.013785790031813362,943,0.992,0,0,FALSE,TRUE,FALSE
2021-02-01,TSLA,4,839.809998,0.752,0.0042417815482502655,943,0.04,0.002,0,FALSE,FALSE,FALSE
2021-02-02,TSLA,4,872.789978,0.50815,0.002844950213371266,1406,0.008,0.002,0,FALSE,FALSE,FALSE
2021-02-03,TSLA,19,854.690002,0.3478473684210526,0.006871609403254973,2765,0.008,0.006,0,FALSE,FALSE,FALSE
2021-02-04,TSLA,6,849.98999,0.5889833333333333,0.0035650623885918,1683,0.008,0.002,0,FALSE,FALSE,FALSE
2021-02-05,TSLA,14,852.22998,0.5798428571428571,0.005681818181818182,2464,0.01,0.012,0,FALSE,FALSE,FALSE
2021-02-06,TSLA,9,852.22998,0.3021111111111111,0.003206270039187745,2807,0.014,0.012,0,FALSE,FALSE,FALSE
2021-02-07,TSLA,10,852.22998,0.5722,0.01949317738791423,513,0.006,0.014,0,FALSE,FALSE,FALSE
2021-02-08,TSLA,6,863.419983,0.4704,0.02142857142857143,280,0.006,0.008,0,FALSE,FALSE,FALSE
2021-02-09,TSLA,0,849.460022,NA,0,156,1,0.074,0,FALSE,TRUE,FALSE
2021-02-10,TSLA,4,804.820007,0.972275,0.019138755980861243,209,0.01,0.148,0,FALSE,FALSE,FALSE
2021-02-11,TSLA,9,811.659973,0.5364,0.05389221556886228,167,0.014,0.046,0,FALSE,FALSE,FALSE
2021-02-12,TSLA,7,816.119995,0.1928857142857143,0.03825136612021858,183,0.02,0.01,0,FALSE,FALSE,FALSE
2021-02-13,TSLA,10,816.119995,0.22647,0.05649717514124294,177,0.016,0.012,0,FALSE,FALSE,FALSE
2021-02-14,TSLA,11,816.119995,0.9508272727272727,0.0873015873015873,126,0.022,0.004,0,FALSE,FALSE,FALSE
2021-02-15,TSLA,6,816.119995,0.92535,0.09523809523809523,63,0.5,0.084,0,FALSE,FALSE,FALSE
2021-02-16,TSLA,4,796.219971,0.484175,0.0425531914893617,94,0.21,0.062,0,FALSE,FALSE,FALSE
2021-02-17,TSLA,6,798.150024,0.6407,0.03428571428571429,175,0.242,0.04,0,FALSE,FALSE,FALSE
2021-02-18,TSLA,7,787.380005,0.43405714285714286,0.028455284552845527,246,0.07,0.028,0,FALSE,FALSE,FALSE
2021-02-19,TSLA,0,781.299988,NA,0,351,0.016,0,0,FALSE,FALSE,FALSE
2021-02-20,TSLA,3,781.299988,0.5342666666666667,0.012658227848101266,237,0.008,0,0,FALSE,FALSE,FALSE
2021-02-21,TSLA,6,781.299988,0.20353333333333334,0.037037037037037035,162,1,0,0,FALSE,TRUE,FALSE
2021-02-22,TSLA,3,714.5,0.3165,0.021897810218978103,137,0.014,0.004,0,FALSE,FALSE,FALSE
2021-02-23,TSLA,9,698.840027,0.5051444444444445,0.03272727272727273,275,0.356,0.002,0,FALSE,FALSE,FALSE
2021-02-24,TSLA,13,742.02002,0.1547769230769231,0.05416666666666667,240,0.976,0.004,0,FALSE,TRUE,FALSE
2021-02-25,TSLA,5,682.219971,0.24602,0.008976660682226212,557,0.028,0.002,0,FALSE,FALSE,FALSE
2021-02-26,TSLA,3,675.5,0.9142666666666667,0.0054249547920434,553,0.014,0.002,0,FALSE,FALSE,FALSE
2021-02-27,TSLA,1,675.5,0.9732,0.0034129692832764505,293,0.03,0,0,FALSE,FALSE,FALSE
2021-02-28,TSLA,3,675.5,0.9978,0.020833333333333332,144,0.322,0.002,0,FALSE,FALSE,FALSE
2021-03-01,TSLA,1,718.429993,0.9939,0.0064516129032258064,155,0.156,0.002,0,FALSE,FALSE,FALSE
2021-03-02,TSLA,3,686.440002,0.5652666666666667,0.00821917808219178,365,0.556,0,0,FALSE,FALSE,FALSE
